ID_Account;EconomicActivity;ID_Customer;Nperiods;minStartDate;minStartDate_Year;CAE
1866312972001;COMER;18663129;16;28.08.2009;2009;51900
1872948440001;PESCA;18729484;11;31.03.2009;2009;5011
1873101440001;COMER;18731014;11;23.01.2009;2009;51900
1887154970001;COMER;18871549;10;10.12.2009;2009;51900
1928475770001;CONSTR;19284757;67;15.07.2009;2009;45201
1929299570001;CONSTR;19292995;2;09.12.2009;2009;45201
1965340472001;SERV;19653404;56;11.08.2009;2009;80903
1998921872001;ESTADO;19989218;2;02.10.2009;2009;75130
2048003815001;CONSTR;20480038;1;11.06.2009;2009;45201
2074745172001;CONSTR;20747451;33;02.10.2009;2009;45201
2076928010001;COMER;20769280;9;28.12.2009;2009;52530
2091328870001;COMER;20913288;11;27.05.2009;2009;52530
2185466110001;COMER;21854661;1;24.06.2009;2009;51900
2188562810001;COMER;21885628;2;29.05.2009;2009;51900
2206219410001;SERV;22062194;2;09.06.2009;2009;93040
2400949770001;HOT TUR;24009497;21;03.12.2009;2009;55111
2416914170001;SERV;24169141;2;27.08.2009;2009;93040
2545516972001;HOT TUR;25455169;35;27.11.2009;2009;55111
2596099270001;SERV;25960992;40;17.11.2009;2009;64200
2630940510001;SERV;26309405;1;05.12.2009;2009;75220
2637644170001;SERV;26376441;85;16.12.2009;2009;91120
2658075210001;COMER;26580752;21;21.12.2009;2009;51900
412345;SERV;556461;2;30.03.2010;2010;64200
2172815001;IND EXTRACT;21728;5;21.07.2010;2010;13100
2471915001;COMER;24719;10;27.02.2010;2010;51900
2471970008;COMER;24719;5;14.01.2010;2010;51900
2471970009;COMER;24719;4;05.02.2010;2010;51900
2471970010;COMER;24719;5;22.02.2010;2010;51900
2471970011;COMER;24719;7;24.02.2010;2010;51900
2471970012;COMER;24719;4;15.03.2010;2010;51900
2471970013;COMER;24719;4;20.04.2010;2010;51900
2471970014;COMER;24719;5;07.05.2010;2010;51900
2471970015;COMER;24719;5;18.05.2010;2010;51900
2471972001;COMER;24719;5;11.06.2010;2010;51900
2471972002;COMER;24719;5;02.07.2010;2010;51900
2471972003;COMER;24719;5;16.07.2010;2010;51900
2471972004;COMER;24719;5;30.09.2010;2010;51900
2471972005;COMER;24719;5;20.10.2010;2010;51900
2471972006;COMER;24719;4;23.11.2010;2010;51900
2632640012;COMER;26326;27;26.05.2010;2010;51900
2929370004;COMER;29293;5;18.05.2010;2010;51900
2955970003;SERV;29559;4;21.07.2010;2010;71240
3171840001;CONSTR;31718;54;06.04.2010;2010;45201
3816510002;SERV;38165;10;31.05.2010;2010;45202
3816515001;SERV;38165;3;27.02.2010;2010;45202
4630615003;IND EXTRACT;46306;9;27.11.2010;2010;11200
8962070005;IND EXTRACT;89620;4;31.03.2010;2010;11200
9661970004;IND TRANSF;96619;11;12.01.2010;2010;20243
9997000311;SERV;611994;24;11.11.2010;2010;63010
9997000411;SERV;611994;46;11.11.2010;2010;63010
9999000109;CONSTR;1212142;3;08.11.2010;2010;45201
9999000210;COMER;839092;3;18.11.2010;2010;51502
9999000310;COMER;839092;3;18.11.2010;2010;51502
9999000510;COMER;839092;3;18.11.2010;2010;51502
9999000810;CONSTR;1212142;3;09.11.2010;2010;45201
9999000910;COMER;839092;3;18.11.2010;2010;51502
9999001010;IND TRANSF;5647433;3;18.11.2010;2010;24252
9999001110;COMER;21324018;3;22.11.2010;2010;51101
9999001310;COMER;3902134;3;18.11.2010;2010;51900
9999001610;SERV;556461;3;19.11.2010;2010;64200
9999002010;COMER;824262;3;23.11.2010;2010;51900
9999002810;SERV;12726402;3;03.12.2010;2010;85110
9999003010;IND TRANSF;804161;3;08.12.2010;2010;15551
9999003110;IND TRANSF;804161;3;08.12.2010;2010;15551
9999003210;IND TRANSF;804161;3;08.12.2010;2010;15551
9999003710;CONSTR;483107;3;30.12.2010;2010;45201
9999003810;CONSTR;483107;2;30.12.2010;2010;45201
15449010002;COMER;154490;2;27.02.2010;2010;51321
18108240007;IND TRANSF;181082;9;23.11.2010;2010;15510
18645415001;COMER;186454;6;15.03.2010;2010;51900
22213370001;SERV;222133;37;07.06.2010;2010;64200
27431910006;SERV;274319;4;15.11.2010;2010;65110
35493870001;CONSTR;354938;13;29.03.2010;2010;45201
38264815001;COMER;382648;6;30.03.2010;2010;51104
38264872001;COMER;382648;61;14.06.2010;2010;51104
38850970006;SERV;388509;13;17.03.2010;2010;92430
39550810002;COMER;395508;15;29.05.2010;2010;51900
40595517003;SERV;405955;1;22.02.2010;2010;64200
45191770007;SERV;451917;7;29.03.2010;2010;60230
45191770008;SERV;451917;5;21.05.2010;2010;60230
45191770009;SERV;451917;5;16.07.2010;2010;60230
45191771001;SERV;451917;9;31.12.2010;2010;60230
45191772002;SERV;451917;37;29.06.2010;2010;60230
45191772003;SERV;451917;29;16.07.2010;2010;60230
45675715001;SERV;456757;2;27.02.2010;2010;62200
45675770015;SERV;456757;9;19.02.2010;2010;62200
45675770016;SERV;456757;4;22.02.2010;2010;62200
45675770017;SERV;456757;1;26.02.2010;2010;62200
45675770018;SERV;456757;4;30.04.2010;2010;62200
45675770019;SERV;456757;19;28.05.2010;2010;62200
45675770020;SERV;456757;5;10.08.2010;2010;62200
52501010001;COMER;525010;27;16.06.2010;2010;51900
54075515004;SERV;540755;3;28.03.2010;2010;72900
58494515001;CONSTR;584945;1;26.03.2010;2010;45201
59841570003;COMER;598415;13;08.01.2010;2010;52530
59841570004;COMER;598415;19;22.12.2010;2010;52530
61199415001;SERV;611994;1;29.09.2010;2010;63010
61199470001;SERV;611994;6;26.05.2010;2010;63010
61199470002;SERV;611994;7;04.11.2010;2010;63010
62410410001;CONSTR;624104;1;29.04.2010;2010;50100
66255410001;SERV;662554;1;29.11.2010;2010;63033
75951310001;SERV;759513;1;25.05.2010;2010;40102
75951315001;SERV;759513;3;27.02.2010;2010;40102
80416115001;IND TRANSF;804161;7;28.07.2010;2010;15551
80416115002;IND TRANSF;804161;8;02.09.2010;2010;15551
80416171003;IND TRANSF;804161;61;23.11.2010;2010;15551
80416171004;IND TRANSF;804161;61;24.11.2010;2010;15551
80416172001;IND TRANSF;804161;6;14.05.2010;2010;15551
82426210001;COMER;824262;19;13.08.2010;2010;51900
82426215001;COMER;824262;14;27.02.2010;2010;51900
82426219001;COMER;824262;1;29.11.2010;2010;51900
83909210001;COMER;839092;4;16.08.2010;2010;51502
83909270004;COMER;839092;3;13.09.2010;2010;51502
85109610001;SERV;851096;1;09.08.2010;2010;66010
85109615001;SERV;851096;1;08.06.2010;2010;66010
92150715001;SERV;921507;1;27.04.2010;2010;93040
100746310001;COMER;1007463;3;26.05.2010;2010;51900
118061672001;SERV;1180616;54;01.12.2010;2010;70100
122290615001;CONSTR;1222906;3;29.05.2010;2010;45201
